,Unnamed: 0_x,ZIPCODE,CUISINECODE,VIOLCODE,SCORE,CURRENTGRADE,GRADEDATE,Unnamed: 0_y,geocode
170502,321616,10002,8.0,06A,41.0,C,2013-01-25 00:00:00,1,"(40.7135097, -73.9859414)"
170503,321720,10002,99.0,16A,0.0,,,1,"(40.7135097, -73.9859414)"
170504,321721,10002,99.0,04M,30.0,,,1,"(40.7135097, -73.9859414)"
170505,321722,10002,99.0,10F,41.0,C,2012-02-02 00:00:00,1,"(40.7135097, -73.9859414)"
170506,321723,10002,99.0,15K,,,,1,"(40.7135097, -73.9859414)"
170507,321864,10002,84.0,08A,59.0,,,1,"(40.7135097, -73.9859414)"
170508,321865,10002,84.0,02G,40.0,C,2013-05-29 00:00:00,1,"(40.7135097, -73.9859414)"
170509,321866,10002,84.0,08A,40.0,C,2013-05-29 00:00:00,1,"(40.7135097, -73.9859414)"
170510,322137,10002,20.0,08A,17.0,C,2011-06-03 00:00:00,1,"(40.7135097, -73.9859414)"
170511,322138,10002,20.0,02G,49.0,,,1,"(40.7135097, -73.9859414)"
170512,322139,10002,20.0,02B,13.0,B,2011-10-21 00:00:00,1,"(40.7135097, -73.9859414)"
170513,322140,10002,20.0,08A,34.0,,,1,"(40.7135097, -73.9859414)"
170514,322141,10002,20.0,04L,26.0,,,1,"(40.7135097, -73.9859414)"
170515,322142,10002,20.0,10F,26.0,,,1,"(40.7135097, -73.9859414)"
170516,322143,10002,20.0,06C,63.0,,,1,"(40.7135097, -73.9859414)"
170517,322144,10002,20.0,06F,17.0,,,1,"(40.7135097, -73.9859414)"
170518,322540,10002,8.0,06C,16.0,,,1,"(40.7135097, -73.9859414)"
170519,322541,10002,8.0,10B,16.0,,,1,"(40.7135097, -73.9859414)"
170520,322542,10002,8.0,10F,23.0,B,2010-11-26 00:00:00,1,"(40.7135097, -73.9859414)"
170521,322543,10002,8.0,06C,18.0,,,1,"(40.7135097, -73.9859414)"
170522,322692,10002,63.0,04N,19.0,,,1,"(40.7135097, -73.9859414)"
170523,322693,10002,63.0,08A,19.0,,,1,"(40.7135097, -73.9859414)"
170524,322694,10002,63.0,10F,19.0,,,1,"(40.7135097, -73.9859414)"
170525,322751,10002,55.0,04N,45.0,,,1,"(40.7135097, -73.9859414)"
170526,322752,10002,55.0,99B,45.0,,,1,"(40.7135097, -73.9859414)"
170527,322753,10002,8.0,04N,22.0,,,1,"(40.7135097, -73.9859414)"
170528,322840,10002,55.0,04L,23.0,,,1,"(40.7135097, -73.9859414)"
170529,322841,10002,55.0,02G,35.0,,,1,"(40.7135097, -73.9859414)"
170530,323386,10002,69.0,05D,12.0,A,2012-05-11 00:00:00,1,"(40.7135097, -73.9859414)"
170531,323391,10002,69.0,08C,16.0,,,1,"(40.7135097, -73.9859414)"
170532,323392,10002,69.0,02G,20.0,,,1,"(40.7135097, -73.9859414)"
170533,323576,10002,5.0,04M,21.0,,,1,"(40.7135097, -73.9859414)"
170534,323577,10002,5.0,05D,21.0,,,1,"(40.7135097, -73.9859414)"
170535,323578,10002,5.0,16A,,,,1,"(40.7135097, -73.9859414)"
170536,323579,10002,5.0,09B,16.0,,,1,"(40.7135097, -73.9859414)"
170537,323580,10002,5.0,,,,,1,"(40.7135097, -73.9859414)"
170538,323806,10002,20.0,02G,46.0,,,1,"(40.7135097, -73.9859414)"
170539,323807,10002,20.0,06E,46.0,,,1,"(40.7135097, -73.9859414)"
170540,323808,10002,20.0,02B,36.0,C,2011-07-05 00:00:00,1,"(40.7135097, -73.9859414)"
170541,323809,10002,20.0,10F,43.0,,,1,"(40.7135097, -73.9859414)"
170542,323810,10002,20.0,02B,61.0,,,1,"(40.7135097, -73.9859414)"
170543,323811,10002,20.0,06C,61.0,,,1,"(40.7135097, -73.9859414)"
170544,323812,10002,20.0,10B,61.0,,,1,"(40.7135097, -73.9859414)"
170545,323813,10002,20.0,02G,27.0,B,2012-07-05 00:00:00,1,"(40.7135097, -73.9859414)"
170546,323814,10002,20.0,06C,27.0,B,2012-07-05 00:00:00,1,"(40.7135097, -73.9859414)"
170547,323815,10002,20.0,04N,18.0,,,1,"(40.7135097, -73.9859414)"
170548,323816,10002,20.0,06C,37.0,,,1,"(40.7135097, -73.9859414)"
170549,323817,10002,20.0,10B,37.0,,,1,"(40.7135097, -73.9859414)"
170550,323818,10002,20.0,02B,49.0,,,1,"(40.7135097, -73.9859414)"
170551,323944,10002,5.0,10B,12.0,A,2011-04-26 00:00:00,1,"(40.7135097, -73.9859414)"
170552,323945,10002,5.0,02G,44.0,,,1,"(40.7135097, -73.9859414)"
170553,323946,10002,5.0,06D,44.0,,,1,"(40.7135097, -73.9859414)"
170554,323947,10002,5.0,10F,9.0,B,2012-05-09 00:00:00,1,"(40.7135097, -73.9859414)"
170555,323948,10002,5.0,10B,19.0,,,1,"(40.7135097, -73.9859414)"
170556,323949,10002,5.0,15I,,,,1,"(40.7135097, -73.9859414)"
170557,323950,10002,5.0,06A,16.0,,,1,"(40.7135097, -73.9859414)"
170558,324052,10002,20.0,06C,32.0,,,1,"(40.7135097, -73.9859414)"
170559,324053,10002,20.0,20D,32.0,,,1,"(40.7135097, -73.9859414)"
170560,324054,10002,20.0,06F,55.0,C,2011-02-28 00:00:00,1,"(40.7135097, -73.9859414)"
170561,324055,10002,20.0,09C,12.0,A,2011-08-09 00:00:00,1,"(40.7135097, -73.9859414)"
170562,324056,10002,20.0,08A,54.0,,,1,"(40.7135097, -73.9859414)"
170563,324057,10002,20.0,06C,43.0,,,1,"(40.7135097, -73.9859414)"
170564,324058,10002,20.0,02G,27.0,,,1,"(40.7135097, -73.9859414)"
170565,324059,10002,20.0,04O,27.0,,,1,"(40.7135097, -73.9859414)"
170566,324060,10002,20.0,06E,27.0,,,1,"(40.7135097, -73.9859414)"
170567,324061,10002,20.0,09C,47.0,,,1,"(40.7135097, -73.9859414)"
170568,324247,10002,3.0,10H,6.0,A,2013-03-19 00:00:00,1,"(40.7135097, -73.9859414)"
